Borough,Ward Code,WardName,Persons: All Ages
Wandsworth,E05000622,St Mary's Park,"16,556"
Wandsworth,E05000623,Shaftesbury,"14,160"
Wandsworth,E05000624,Southfields,"16,256"
Wandsworth,E05000625,Thamesfield,"14,842"
Wandsworth,E05000626,Tooting,"16,239"
Wandsworth,E05000627,Wandsworth Common,"15,247"
Wandsworth,E05000628,West Hill,"16,402"
Wandsworth,E05000629,West Putney,"14,742"
Westminster,E05000630,Abbey Road,"11,250"
Westminster,E05000631,Bayswater,"10,300"
Westminster,E05000632,Bryanston and Dorset Square,"11,991"
Westminster,E05000633,Churchill,"9,618"
Westminster,E05000634,Church Street,"11,760"
Westminster,E05000635,Harrow Road,"12,034"
Westminster,E05000636,Hyde Park,"12,462"
Westminster,E05000637,Knightsbridge and Belgravia,"9,270"
Westminster,E05000638,Lancaster Gate,"13,195"
Westminster,E05000639,Little Venice,"10,633"
Westminster,E05000640,Maida Vale,"10,210"
Westminster,E05000641,Marylebone High Street,"10,366"
Westminster,E05000642,Queen's Park,"12,563"
Westminster,E05000643,Regent's Park,"12,067"
Westminster,E05000644,St James's,"10,828"
Westminster,E05000645,Tachbrook,"8,158"
Westminster,E05000646,Vincent Square,"9,988"
Westminster,E05000647,Warwick,"9,369"
Westminster,E05000648,Westbourne,"12,759"
Westminster,E05000649,West End,"10,575"
